pattern,severity,wcag,pages_affected,instances,template_level,example_page,structure
"Element exposed as an image with no accessible name","error","WCAG 2.1 1.1.1","12","12","yes","/","li.px-3.xl:hidden > a > svg"
"Element exposed as an image with no accessible name","error","WCAG 2.1 1.1.1","12","12","yes","/","div.fixed.top-0 > div > svg"
"Element exposed as an image with no accessible name","error","WCAG 2.1 1.1.1","8","32","yes","/","div > div.input-container.flex > svg.wave.-z-10"
"Element exposed as an image with no accessible name","error","WCAG 2.1 1.1.1","3","24","no","/about","div.col-span-2 > div.grid.grid-cols-3 > svg.mx-auto"
"Element exposed as an image with no accessible name","error","WCAG 2.1 1.1.1","3","21","no","/about","div > div.grid.w-full > svg.m-auto"
