url,type,isNav,seo,a11y,accessibilityIssues,backend,served,rendered,loadTimeMs,msc,sdq,schemaTypes,hasOffer
https://typo3.org/,nav,true,84,90,1,45,85,85,897,50,0,,n/a
https://typo3.org/association,content,false,85,0,14,45,100,100,666,50,0,,No
https://typo3.org/company,content,false,75,90,1,45,99,99,574,44,0,,No
https://typo3.org/association/membership,content,false,85,70,3,45,100,100,837,50,0,,No
https://typo3.org/governance-values,content,false,85,60,4,45,100,100,656,50,0,,No
https://typo3.org/association/funding-finances,content,false,68,80,2,45,99,99,908,44,0,,No
https://typo3.org/association/contact,content,false,60,80,2,45,84,84,800,44,0,,No
