pattern,severity,wcag,pages_affected,instances,template_level,example_page,structure
"Clickable element with no semantic role","error","WCAG 2.1 4.1.2","10","10","yes","/","div.uc-banner-content > div#uc-banner-text.uc-banner-text > span#uc-full-optin-description"
"Element exposed as an image with no accessible name","error","WCAG 2.1 1.1.1","10","10","yes","/","div#uc-btn-open-main-corner-modal.uc-privacy-button-wrapper.uc-button > div#uc-btn-close-main-corner-modal.uc-floating-button-wrapper > svg"
"Element exposed as an image with no accessible name","error","WCAG 2.1 1.1.1","1","5","no","/case-studies","div.ss-main.form-multiselect > div.ss-deselect.ss-hide > svg"
"Element exposed as an image with no accessible name","error","WCAG 2.1 1.1.1","1","5","no","/case-studies","div.filter-item > div.ss-main.form-multiselect > svg.ss-arrow"
"Link whose accessible name carries no destination meaning","warn","WCAG 2.1 2.4.4","11","33","yes","/","div.submenu__content__text > p > a.btn.btn-white"
"Data-bearing image with no text equivalent","warn","WCAG 2.1 1.1.1","10","10","yes","/","div.file-license.d-flex > div.thumbnail.flex-shrink-0 > img"
"Link whose accessible name carries no destination meaning","warn","WCAG 2.1 2.4.4","9","42","yes","/case-studies","div.card > div.card-footer > a.card-link"
"Data-bearing image with no text equivalent","warn","WCAG 2.1 1.1.1","1","1","no","/products-services","div.card-img-top > picture > img"
