url,type,isNav,seo,a11y,accessibilityIssues,backend,served,rendered,loadTimeMs,msc,sdq,schemaTypes,hasOffer
https://www.paribu.com/,nav,true,92,80,14,100,100,,482,68,93,Organization; ImageObject; Person; PostalAddress; WebSite; WebPage,n/a
https://www.paribu.com/markets,nav,true,97,70,9,100,64,,2345,68,92,Organization; ImageObject; Person; PostalAddress; WebSite; CollectionPage; Thing; Country,n/a
https://www.paribu.com/destek,content,false,68,75,7,70,18,,2311,34,0,,No
https://www.paribu.com/custody,content,false,100,100,0,100,100,,2241,75,78,Organization; Person; PostalAddress; FAQPage; Question; Answer,No
https://www.paribu.com/custody/tr,content,false,100,100,0,100,100,,2123,75,78,Organization; Person; PostalAddress; FAQPage; Question; Answer,No
https://www.paribu.com/auth/sign-up,content,false,73,75,5,60,84,,506,50,0,,No
