pattern,severity,wcag,pages_affected,instances,template_level,example_page,structure
"Clickable element with no semantic role","error","WCAG 2.1 4.1.2","11","11","yes","/","div.uc-banner-content > div#uc-banner-text.uc-banner-text > span#uc-full-optin-description"
"Element exposed as an image with no accessible name","error","WCAG 2.1 1.1.1","11","11","yes","/","div#uc-btn-open-main-corner-modal.uc-privacy-button-wrapper.uc-button > div#uc-btn-close-main-corner-modal.uc-floating-button-wrapper > svg"
"Element exposed as an image with no accessible name","error","WCAG 2.1 1.1.1","1","16","no","/association/structure/board","div.card-social.justify-content-center > a.card-social-item > svg"
"Link whose accessible name carries no destination meaning","warn","WCAG 2.1 2.4.4","5","19","yes","/association/funding-finances","div.card > div.card-footer > a.card-link"
