severity,file,line,kind,target,note
LOW,mx-canon/mx-maxine-lives/management/changelog-archives/changelog-archive-2026-05-26.md,244,md-link,"datalake/manuscripts/mx-books/mx-appendices/appendix-m-index-of-metadata.md","resolved=mx-canon/mx-maxine-lives/management/changelog-archives/datalake/manuscripts/mx-books/mx-appendices/appendix-m-index-of-metadata.md"
LOW,mx-canon/mx-maxine-lives/management/changelog-archives/changelog-archive-2026-05-26.md,244,backtick-path,"mx-canon/ssot/principles.cog.md","resolved=mx-canon/mx-maxine-lives/management/changelog-archives/mx-canon/ssot/principles.cog.md"
LOW,mx-canon/mx-maxine-lives/management/changelog-archives/changelog-archive-2026-05-26.md,245,md-link,"datalake/manuscripts/mx-books/free-book/chapter-00/chapter-00-free.md","resolved=mx-canon/mx-maxine-lives/management/changelog-archives/datalake/manuscripts/mx-books/free-book/chapter-00/chapter-00-free.md"
LOW,mx-canon/mx-maxine-lives/management/changelog-archives/changelog-archive-2026-05-26.md,245,md-link,"datalake/manuscripts/mx-books/mx-protocols/protocols/chapter-00/chapter-00-protocols.md","resolved=mx-canon/mx-maxine-lives/management/changelog-archives/datalake/manuscripts/mx-books/mx-protocols/protocols/chapter-00/chapter-00-protocols.md"
LOW,mx-canon/mx-maxine-lives/management/changelog-archives/changelog-archive-2026-05-26.md,246,md-link,"mx-outputs/mx-site/llms-understanding.txt","resolved=mx-canon/mx-maxine-lives/management/changelog-archives/mx-outputs/mx-site/llms-understanding.txt"
LOW,mx-canon/mx-maxine-lives/management/changelog-archives/changelog-archive-2026-05-26.md,247,md-link,"mx-canon/mx-maxine-lives/businesses/the-gathering/canonical-sponsor.md","resolved=mx-canon/mx-maxine-lives/management/changelog-archives/mx-canon/mx-maxine-lives/businesses/the-gathering/canonical-sponsor.md"
LOW,mx-canon/mx-maxine-lives/management/changelog-archives/changelog-archive-2026-05-26.md,247,md-link,"mx-canon/mx-maxine-lives/businesses/the-gathering/business-sponsor-pitch.md","resolved=mx-canon/mx-maxine-lives/management/changelog-archives/mx-canon/mx-maxine-lives/businesses/the-gathering/business-sponsor-pitch.md"
LOW,mx-canon/mx-maxine-lives/management/changelog-archives/changelog-archive-2026-05-26.md,247,md-link,"mx-canon/mx-maxine-lives/businesses/ddt-cognovamx/pitch-deck.md","resolved=mx-canon/mx-maxine-lives/management/changelog-archives/mx-canon/mx-maxine-lives/businesses/ddt-cognovamx/pitch-deck.md"
LOW,mx-canon/mx-maxine-lives/management/changelog-archives/changelog-archive-2026-05-26.md,247,md-link,"mx-canon/mx-maxine-lives/businesses/ddt-cognovamx/one-pager.md","resolved=mx-canon/mx-maxine-lives/management/changelog-archives/mx-canon/mx-maxine-lives/businesses/ddt-cognovamx/one-pager.md"
LOW,mx-canon/mx-maxine-lives/management/changelog-archives/changelog-archive-2026-05-26.md,263,md-link,".claude/skills/audit-collect/skill.md","resolved=mx-canon/mx-maxine-lives/management/changelog-archives/.claude/skills/audit-collect/skill.md"
LOW,mx-canon/mx-maxine-lives/management/changelog-archives/changelog-archive-2026-05-26.md,263,backtick-path,".claude/skills/audit-collect/skill.md","resolved=mx-canon/mx-maxine-lives/management/changelog-archives/.claude/skills/audit-collect/skill.md"
