severity,file,line,kind,target,note
LOW,mx-canon/mx-maxine-lives/management/changelog-archives/changelog-archive-2026-05-26.md,440,md-link,"mx-outputs/audit/2026-05-20/","resolved=mx-canon/mx-maxine-lives/management/changelog-archives/mx-outputs/audit/2026-05-20"
LOW,mx-canon/mx-maxine-lives/management/changelog-archives/changelog-archive-2026-05-26.md,441,md-link,"mx-outputs/audit/2026-05-20/www.bollants.de/www-bollants-de-report.pdf","resolved=mx-canon/mx-maxine-lives/management/changelog-archives/mx-outputs/audit/2026-05-20/www.bollants.de/www-bollants-de-report.pdf"
LOW,mx-canon/mx-maxine-lives/management/changelog-archives/changelog-archive-2026-05-26.md,442,md-link,"mx-outputs/audit/2026-05-20/www.marriott.com/www-marriott-com-brief.pdf","resolved=mx-canon/mx-maxine-lives/management/changelog-archives/mx-outputs/audit/2026-05-20/www.marriott.com/www-marriott-com-brief.pdf"
LOW,mx-canon/mx-maxine-lives/management/changelog-archives/changelog-archive-2026-05-26.md,443,md-link,"mx-outputs/audit/2026-05-20/contrast-bollants-marriott.pdf","resolved=mx-canon/mx-maxine-lives/management/changelog-archives/mx-outputs/audit/2026-05-20/contrast-bollants-marriott.pdf"
LOW,mx-canon/mx-maxine-lives/management/changelog-archives/changelog-archive-2026-05-26.md,444,md-link,"scripts/check-audit-report-generate.js","resolved=mx-canon/mx-maxine-lives/management/changelog-archives/scripts/check-audit-report-generate.js"
LOW,mx-canon/mx-maxine-lives/management/changelog-archives/changelog-archive-2026-05-26.md,444,backtick-path,"scripts/check-audit-report-generate.js","resolved=mx-canon/mx-maxine-lives/management/changelog-archives/scripts/check-audit-report-generate.js"
LOW,mx-canon/mx-maxine-lives/management/changelog-archives/changelog-archive-2026-05-26.md,445,md-link,".claude/hooks/post-bash-audit-report-generate.sh","resolved=mx-canon/mx-maxine-lives/management/changelog-archives/.claude/hooks/post-bash-audit-report-generate.sh"
LOW,mx-canon/mx-maxine-lives/management/changelog-archives/changelog-archive-2026-05-26.md,445,md-link,".claude/settings.json","resolved=mx-canon/mx-maxine-lives/management/changelog-archives/.claude/settings.json"
LOW,mx-canon/mx-maxine-lives/management/changelog-archives/changelog-archive-2026-05-26.md,445,backtick-path,".claude/hooks/post-bash-audit-report-generate.sh","resolved=mx-canon/mx-maxine-lives/management/changelog-archives/.claude/hooks/post-bash-audit-report-generate.sh"
LOW,mx-canon/mx-maxine-lives/management/changelog-archives/changelog-archive-2026-05-26.md,445,backtick-path,".claude/settings.json","resolved=mx-canon/mx-maxine-lives/management/changelog-archives/.claude/settings.json"
LOW,mx-canon/mx-maxine-lives/management/changelog-archives/changelog-archive-2026-05-26.md,456,md-link,"mx-reginald/audit/src/utils/reportUtils/reportGenerators.js","resolved=mx-canon/mx-maxine-lives/management/changelog-archives/mx-reginald/audit/src/utils/reportUtils/reportGenerators.js"
LOW,mx-canon/mx-maxine-lives/management/changelog-archives/changelog-archive-2026-05-26.md,456,md-link,"mx-reginald/audit/bin/infill-report.js","resolved=mx-canon/mx-maxine-lives/management/changelog-archives/mx-reginald/audit/bin/infill-report.js"
LOW,mx-canon/mx-maxine-lives/management/changelog-archives/changelog-archive-2026-05-26.md,456,md-link,"mx-reginald/audit/templates/web-audit-suite-template.md","resolved=mx-canon/mx-maxine-lives/management/changelog-archives/mx-reginald/audit/templates/web-audit-suite-template.md"
LOW,mx-canon/mx-maxine-lives/management/changelog-archives/changelog-archive-2026-05-26.md,456,md-link,"mx-reginald/audit/templates/ecommerce-audit-template.md","resolved=mx-canon/mx-maxine-lives/management/changelog-archives/mx-reginald/audit/templates/ecommerce-audit-template.md"
LOW,mx-canon/mx-maxine-lives/management/changelog-archives/changelog-archive-2026-05-26.md,456,md-link,"mx-reginald/audit/scripts/audit-fierce-critic.js","resolved=mx-canon/mx-maxine-lives/management/changelog-archives/mx-reginald/audit/scripts/audit-fierce-critic.js"
LOW,mx-canon/mx-maxine-lives/management/changelog-archives/changelog-archive-2026-05-26.md,456,backtick-path,"mx-reginald/audit/src/utils/reportUtils/reportGenerators.js","resolved=mx-canon/mx-maxine-lives/management/changelog-archives/mx-reginald/audit/src/utils/reportUtils/reportGenerators.js"
LOW,mx-canon/mx-maxine-lives/management/changelog-archives/changelog-archive-2026-05-26.md,456,backtick-path,"mx-reginald/audit/bin/infill-report.js","resolved=mx-canon/mx-maxine-lives/management/changelog-archives/mx-reginald/audit/bin/infill-report.js"
LOW,mx-canon/mx-maxine-lives/management/changelog-archives/changelog-archive-2026-05-26.md,456,backtick-path,"mx-reginald/audit/scripts/audit-fierce-critic.js","resolved=mx-canon/mx-maxine-lives/management/changelog-archives/mx-reginald/audit/scripts/audit-fierce-critic.js"
LOW,mx-canon/mx-maxine-lives/management/changelog-archives/changelog-archive-2026-05-26.md,457,md-link,"scripts/audit-pipeline.js","resolved=mx-canon/mx-maxine-lives/management/changelog-archives/scripts/audit-pipeline.js"
LOW,mx-canon/mx-maxine-lives/management/changelog-archives/changelog-archive-2026-05-26.md,457,backtick-path,"scripts/audit-pipeline.js","resolved=mx-canon/mx-maxine-lives/management/changelog-archives/scripts/audit-pipeline.js"
LOW,mx-canon/mx-maxine-lives/management/changelog-archives/changelog-archive-2026-05-26.md,458,md-link,"mx-outputs/audit/2026-05-19/typo3.org/","resolved=mx-canon/mx-maxine-lives/management/changelog-archives/mx-outputs/audit/2026-05-19/typo3.org"
LOW,mx-canon/mx-maxine-lives/management/changelog-archives/changelog-archive-2026-05-26.md,459,md-link,"mx-outputs/md/reports/directors/session/2026-05-20-morning-report.md","resolved=mx-canon/mx-maxine-lives/management/changelog-archives/mx-outputs/md/reports/directors/session/2026-05-20-morning-report.md"
LOW,mx-canon/mx-maxine-lives/management/changelog-archives/changelog-archive-2026-05-26.md,459,backtick-path,"mx-outputs/md/reports/directors/session/2026-05-20-morning-report.md","resolved=mx-canon/mx-maxine-lives/management/changelog-archives/mx-outputs/md/reports/directors/session/2026-05-20-morning-report.md"
LOW,mx-canon/mx-maxine-lives/management/changelog-archives/changelog-archive-2026-05-26.md,463,md-link,"mx-canon/mx-maxine-lives/businesses/the-gathering/festival-pitch.md","resolved=mx-canon/mx-maxine-lives/management/changelog-archives/mx-canon/mx-maxine-lives/businesses/the-gathering/festival-pitch.md"
LOW,mx-canon/mx-maxine-lives/management/changelog-archives/changelog-archive-2026-05-26.md,463,backtick-path,"mx-canon/mx-maxine-lives/businesses/the-gathering/festival-pitch.md","resolved=mx-canon/mx-maxine-lives/management/changelog-archives/mx-canon/mx-maxine-lives/businesses/the-gathering/festival-pitch.md"
LOW,mx-canon/mx-maxine-lives/management/changelog-archives/changelog-archive-2026-05-26.md,464,md-link,"scripts/audit-pipeline.js","resolved=mx-canon/mx-maxine-lives/management/changelog-archives/scripts/audit-pipeline.js"
LOW,mx-canon/mx-maxine-lives/management/changelog-archives/changelog-archive-2026-05-26.md,464,md-link,"scripts/cogs/mx-audit.cog.md","resolved=mx-canon/mx-maxine-lives/management/changelog-archives/scripts/cogs/mx-audit.cog.md"
LOW,mx-canon/mx-maxine-lives/management/changelog-archives/changelog-archive-2026-05-26.md,464,md-link,".claude/skills/audit-site/skill.md","resolved=mx-canon/mx-maxine-lives/management/changelog-archives/.claude/skills/audit-site/skill.md"
