Type,Bytes,Occurrences,Hash,Pages,Preview
css,200,7,9ad1b0df94a007ebeb767eb41c7ef7ae,https://stackoptic.com/; https://stackoptic.com/about; https://stackoptic.com/contact; https://stackoptic.com/contact; https://stackoptic.com/technologies; https://stackoptic.com/blog; https://stackoptic.com/pricing,html { background: #09090b; color: #f4f4f5; }           body { background: #0909
js,97,7,e2d635e8e2f8c1ae712e344496629e99,https://stackoptic.com/; https://stackoptic.com/about; https://stackoptic.com/contact; https://stackoptic.com/contact; https://stackoptic.com/technologies; https://stackoptic.com/blog; https://stackoptic.com/pricing,(function() {                 document.documentElement.classList.add('dark');   
js,374,4,00f538ddcd3a8d9d665971698787d095,https://stackoptic.com/about; https://stackoptic.com/contact; https://stackoptic.com/technologies; https://stackoptic.com/blog,"self.__next_f.push([1,""1:HL[\""/_next/static/media/bb3ef058b751a6ad-s.p.woff2\"",\"
js,72,4,b40cdc025a72d0b516bd11d9ef0a1776,https://stackoptic.com/about; https://stackoptic.com/contact; https://stackoptic.com/technologies; https://stackoptic.com/blog,"(self.__next_f=self.__next_f||[]).push([0]);self.__next_f.push([2,null])"
js,34,4,c9df2474492ffb49fdf4963bc8c510f2,https://stackoptic.com/about; https://stackoptic.com/contact; https://stackoptic.com/technologies; https://stackoptic.com/blog,"self.__next_f.push([1,""6:null\n""])"
js,8111,2,063d69baf9a80e289570e98b56fa525c,https://stackoptic.com/technologies; https://stackoptic.com/blog,"self.__next_f.push([1,""b:[\""$\"",\""$Lf\"",null,{\""signInUrl\"":\""/sign-in\"",\""signU"
js,1801,2,51526ec499a93a729ef65d972714f9b2,https://stackoptic.com/technologies; https://stackoptic.com/blog,"self.__next_f.push([1,""5:I[12846,[],\""\""]\n8:I[4707,[],\""\""]\n9:I[36423,[],\""\""]"
js,1709,2,187b21b7006171917b28b4945fbc6ba2,https://stackoptic.com/; https://stackoptic.com/pricing,"self.__next_f.push([1,""{\""@context\"":\""https://schema.org\"",\""@type\"":\""Organiza"
js,1648,2,929b26571e83c2af736cf4946c01e522,https://stackoptic.com/contact; https://stackoptic.com/contact,"(self.__next_s=self.__next_s||[]).push([0,{""type"":""application/ld+json"",""childre"
js,871,2,9c12775dbeedc0199e5bb1ecd6ef7459,https://stackoptic.com/; https://stackoptic.com/pricing,"self.__next_f.push([1,""3:[\""$\"",\""script\"",null,{\""type\"":\""application/ld+json\"
js,43,2,1a6e1178e4bbf5730bd664a49dd3bc24,https://stackoptic.com/; https://stackoptic.com/pricing,(self.__next_f=self.__next_f||[]).push([0])
