pattern,severity,wcag,pages_affected,instances,template_level,example_page,structure
"Link whose accessible name carries no destination meaning","warn","WCAG 2.1 2.4.4","4","37","no","/books/","div.proposition-grid > article.proposition-card > a.btn.btn-primary"
"Link whose accessible name carries no destination meaning","warn","WCAG 2.1 2.4.4","2","2","no","/blog/llms-txt-guide.html","article > p > a"
"Link whose accessible name carries no destination meaning","warn","WCAG 2.1 2.4.4","1","1","no","/blog/machine-experience-adding-metadata.html","ul > li > a"
"Link whose accessible name carries no destination meaning","warn","WCAG 2.1 2.4.4","1","3","no","/books/","div.books-grid > article.book-card > a.btn.btn-secondary"
"No main landmark on the page","warn","WCAG 2.1 1.3.1","1","1","no","/books/download-intro","html > body"
"Repeated landmarks with no distinguishing labels","warn","WCAG 2.1 1.3.6","1","1","no","/books/the-author.html","section.section > div.split-layout > aside.split-highlights"
